(.venv) rifatbinrashid@Mac CommNet2/Security Project % python3 victim_server.py
[*] Victim Server listening on 127.0.0.1:9999
[*] Waiting for connections...

[+] Connection #124 from ('127.0.0.1', 54747) | Response time: 0.44 ms
[+] Connection #125 from ('127.0.0.1', 54748) | Response time: 0.29 ms
[+] Connection #126 from ('127.0.0.1', 54749) | Response time: 0.34 ms
[+] Connection #127 from ('127.0.0.1', 54750) | Response time: 0.13 ms
[+] Connection #128 from ('127.0.0.1', 54751) | Response time: 0.92 ms
[+] Connection #129 from ('127.0.0.1', 54752) | Response time: 0.26 ms
[+] Connection #130 from ('127.0.0.1', 54753) | Response time: 0.26 ms
[+] Connection #131 from ('127.0.0.1', 54754) | Response time: 0.42 ms
[+] Connection #132 from ('127.0.0.1', 54755) | Response time: 1.63 ms
[+] Connection #133 from ('127.0.0.1', 54756) | Response time: 0.55 ms
[+] Connection #134 from ('127.0.0.1', 54757) | Response time: 0.32 ms
[+] Connection #135 from ('127.0.0.1', 54758) | Response time: 0.30 ms
[+] Connection #136 from ('127.0.0.1', 54759) | Response time: 0.31 ms
[+] Connection #137 from ('127.0.0.1', 54760) | Response time: 1.65 ms
[+] Connection #138 from ('127.0.0.1', 54761) | Response time: 0.35 ms
[+] Connection #139 from ('127.0.0.1', 54762) | Response time: 0.14 ms
[+] Connection #140 from ('127.0.0.1', 54763) | Response time: 0.10 ms
[+] Connection #141 from ('127.0.0.1', 54764) | Response time: 0.15 ms
[+] Connection #142 from ('127.0.0.1', 54765) | Response time: 0.19 ms
[+] Connection #143 from ('127.0.0.1', 54766) | Response time: 0.18 ms
[+] Connection #144 from ('127.0.0.1', 54767) | Response time: 0.44 ms
[+] Connection #145 from ('127.0.0.1', 54768) | Response time: 0.12 ms
[+] Connection #146 from ('127.0.0.1', 54769) | Response time: 0.18 ms
[+] Connection #147 from ('127.0.0.1', 54770) | Response time: 0.16 ms
[+] Connection #148 from ('127.0.0.1', 54771) | Response time: 0.42 ms
[+] Connection #149 from ('127.0.0.1', 54772) | Response time: 0.16 ms
[+] Connection #150 from ('127.0.0.1', 54773) | Response time: 0.14 ms
[+] Connection #151 from ('127.0.0.1', 54780) | Response time: 0.09 ms
[+] Connection #152 from ('127.0.0.1', 54781) | Response time: 0.10 ms
[+] Connection #153 from ('127.0.0.1', 54782) | Response time: 0.48 ms
[+] Connection #154 from ('127.0.0.1', 54783) | Response time: 0.42 ms
[+] Connection #155 from ('127.0.0.1', 54784) | Response time: 0.48 ms
[+] Connection #156 from ('127.0.0.1', 54785) | Response time: 0.19 ms
[+] Connection #157 from ('127.0.0.1', 54786) | Response time: 0.20 ms
[+] Connection #158 from ('127.0.0.1', 54787) | Response time: 0.17 ms
[+] Connection #159 from ('127.0.0.1', 54788) | Response time: 0.24 ms
[+] Connection #160 from ('127.0.0.1', 54789) | Response time: 0.41 ms
[+] Connection #161 from ('127.0.0.1', 54790) | Response time: 0.40 ms
[+] Connection #162 from ('127.0.0.1', 54791) | Response time: 0.44 ms
[+] Connection #163 from ('127.0.0.1', 54792) | Response time: 0.28 ms
[+] Connection #164 from ('127.0.0.1', 54793) | Response time: 0.45 ms
[+] Connection #165 from ('127.0.0.1', 54794) | Response time: 0.23 ms
[+] Connection #166 from ('127.0.0.1', 54795) | Response time: 0.51 ms
[+] Connection #167 from ('127.0.0.1', 54796) | Response time: 0.44 ms
[+] Connection #168 from ('127.0.0.1', 54797) | Response time: 0.48 ms
[+] Connection #169 from ('127.0.0.1', 54798) | Response time: 0.51 ms
[+] Connection #170 from ('127.0.0.1', 54799) | Response time: 0.19 ms
[+] Connection #171 from ('127.0.0.1', 54800) | Response time: 0.49 ms
[+] Connection #172 from ('127.0.0.1', 54801) | Response time: 0.29 ms
[+] Connection #173 from ('127.0.0.1', 54802) | Response time: 0.44 ms
[+] Connection #174 from ('127.0.0.1', 54803) | Response time: 0.44 ms
[+] Connection #175 from ('127.0.0.1', 54804) | Response time: 0.40 ms
[+] Connection #176 from ('127.0.0.1', 54805) | Response time: 0.36 ms
[+] Connection #177 from ('127.0.0.1', 54806) | Response time: 0.41 ms
[+] Connection #178 from ('127.0.0.1', 54807) | Response time: 0.42 ms
[+] Connection #179 from ('127.0.0.1', 54808) | Response time: 0.71 ms
[+] Connection #180 from ('127.0.0.1', 54809) | Response time: 0.46 ms
[+] Connection #181 from ('127.0.0.1', 54810) | Response time: 0.67 ms
[+] Connection #182 from ('127.0.0.1', 54811) | Response time: 0.42 ms
[+] Connection #183 from ('127.0.0.1', 54812) | Response time: 0.44 ms
[+] Connection #184 from ('127.0.0.1', 54813) | Response time: 0.68 ms
[+] Connection #185 from ('127.0.0.1', 54814) | Response time: 0.42 ms
[+] Connection #186 from ('127.0.0.1', 54815) | Response time: 0.38 ms
[+] Connection #187 from ('127.0.0.1', 54816) | Response time: 0.44 ms
[+] Connection #188 from ('127.0.0.1', 54817) | Response time: 0.45 ms
[+] Connection #189 from ('127.0.0.1', 54818) | Response time: 0.21 ms
[+] Connection #190 from ('127.0.0.1', 54819) | Response time: 0.43 ms
[+] Connection #191 from ('127.0.0.1', 54820) | Response time: 0.58 ms
[+] Connection #192 from ('127.0.0.1', 54821) | Response time: 0.45 ms
[+] Connection #193 from ('127.0.0.1', 54822) | Response time: 0.36 ms
[+] Connection #194 from ('127.0.0.1', 54823) | Response time: 0.24 ms
[+] Connection #195 from ('127.0.0.1', 54824) | Response time: 0.47 ms
[+] Connection #196 from ('127.0.0.1', 54825) | Response time: 0.33 ms
[+] Connection #197 from ('127.0.0.1', 54826) | Response time: 0.51 ms
[+] Connection #198 from ('127.0.0.1', 54827) | Response time: 0.49 ms
[+] Connection #199 from ('127.0.0.1', 54828) | Response time: 0.65 ms
[+] Connection #200 from ('127.0.0.1', 54829) | Response time: 0.50 ms
^C
[*] Server shutting down.
(.venv) rifatbinrashid@Mac CommNet2/Security Project %
